Misspelling,suggestion
abouy,about
allieve,alive
annonsment,announcement
anynomous,anonymous
archeype,archetype
asterick,asterisk
belive,believe
bbrose,browse
bouyant,buoyant
buracracy,bureaucracy
burracracy,bureaucracy
cicle,circle
colleaque,colleague
colloquilism,colloquialism
commerciasl,commercials
comitte,committee
comiler,compiler
compicated,complicated
comupter,computer
contunie,continue
cosmoplyton,cosmopolitan
criqitue,critique
crusifed,crucified
dieties,deities
descrption,description
desparate,desperate
direcyly,directly
diagree,disagree
distarct,distract
doog,dog
deaft,draft
drunkeness,drunkenness
dynaic,dynamic
elagent,elegant
embarass,embarrass
embarassment,embarrassment
enought,enough
envireminakl,environmental
erro,error
eitiology,etiology
evaualtion,evaluation
evtually,eventually
forsee,foresee
frustartaion,frustrating
gaurd,guard
harrass,harass
helo,hello
hlp,help
higer,higher
howver,however
hiphine,hyphen
hystrical,hysterical
illegitament,illegitimate
immenant,immanent
implemtes,implements
inconvience,inconvenience
ident,indent
indispensible,indispensable
inefficite,inefficient
innoculate,inoculate
insistenet,insistent
intealignt,intelligent
intelignt,intelligent
intellgnt,intelligent
lloyer,layer
liason,liaison
libary,library
likly,likely
lossing,losing
maxium,maximum
miniscule,minuscule
mischievious,mischievous
neccessary,necessary
necesser,necessary
neice,niece
ocassion,occasion
occusionaly,occasionally
occuppied,occupied
occurence,occurrence
patten,pattern
politict,politic
protray,portray
prefices,prefixes
pscolgst,psychologist
psicolagest,psychologist
respct,respect
sacreligious,sacrilegious
salut,salute
secion,section
sieze,seize
seferal,several
sherbert,sherbet
singal,signal
situration,situation
smil,smile
specificialy,specifically
stering,steering
slyph,sylph
syncorization,synchronization
tattos,tattoos
tem,team
taht,that
teh,the
thredically,theoretically
unentelegible,unintelligible
unatourral,unnatural
unaturral,unnatural
uranisium,uranium
verison,version
whaaat,what
writting,writing
youe,your
